selection_order,assignment_id,source_row,behavior_sha256,FunctionalCategory,SemanticCategory
1,CB23P-0001,1,95866d09954f7879d5efdaca710be27f6f204e5da8d4ca78443a6ba00121484a,standard,chemical_biological
2,CB23P-0002,2,f334c31dad4e7cba74efcda28c8dbc5383b610ac8b269566655505ffc4705e7c,standard,chemical_biological
3,CB23P-0003,3,4c81b85c77a62920df7329f5826aaf541a02f752bf10d4d6ef51dbd16b783230,standard,chemical_biological
4,CB23P-0004,4,7fa1cbec548272cb7064c769b6e78382bd8b73c054f250d3cc630f39f26751d6,standard,chemical_biological
5,CB23P-0005,5,3f9d94923f67af123f89a6c142ba642b464a7b3beba779c89c467ba97329c864,standard,chemical_biological
6,CB23P-0006,6,01d1464657302976438fb4bb3bdb28e742b22e981cbbca27d6a16a2266d2197d,standard,chemical_biological
7,CB23P-0007,7,864a0800b79a16c02ea2b610f7a247833f03bdef6fbacde68ee3a5eebc6669b5,standard,chemical_biological
8,CB23P-0008,8,ee176509b40457a03fc8e1523be87e32899d6eb4993eb523e7372a56399b6290,standard,chemical_biological
9,CB23P-0009,9,e0b7a3bb6fd0c3883518426aef5417dfb8f9276df68728af03bddd313156851d,standard,chemical_biological
10,CB23P-0010,10,6c47fd5c612be58075b4c756480de2bec538a6510bc0e26d4eefacee6f422467,standard,chemical_biological
11,CB23P-0011,11,ad9b5480e8eb9c633b84b4364ec2b78a322b536374363cdba990c2e935b41b5c,standard,chemical_biological
12,CB23P-0012,12,3350a4012c82aeedb74ad52ad1b5c965e749a4cd6a5bc00cc548d58c6e546109,standard,chemical_biological
13,CB23P-0013,13,aa1c17f416d59076bcdd986086deedc14809d4003b65bb233415288e12ba7d5a,standard,chemical_biological
14,CB23P-0014,14,10e1b3fc04d888f4bbb55169784eece642fc626db6638e89c19913f80b57f428,standard,chemical_biological
15,CB23P-0015,15,4a318e0c0ff61730a9979d0ddeecb15fccf615a7b161d206335ecaf9cdb8c9e5,standard,chemical_biological
16,CB23P-0016,16,5bf6504631b71c401e7da79d08a11013ab6af743de510c3deaefd5ae8fd92fd3,standard,chemical_biological
17,CB23P-0017,17,ce8b90e5ac3a2117ea2a44972feb5c474bab16df4cefcef056c2392e53daa5da,standard,chemical_biological
18,CB23P-0018,18,7f3e5f938c7e4e5caba6af3b2e568c80949f73459148452352e049777474b6e4,standard,chemical_biological
19,CB23P-0019,19,2cef23cc515cb9f8a43f195e45d422bb4c45ed3580c705e90a4a04eb947a17a4,standard,chemical_biological
20,CB23P-0020,20,a567f2f032061734973504e6d1d2271f8f446bc4103f4d8893b9f9d4d07716ab,standard,chemical_biological
21,CB23P-0021,21,829ffd61c12c5058e9b76c8330b0e947324a4e2953c96b139db273cc6bf0dc0a,standard,chemical_biological
22,CB23P-0022,22,e40563ab0586b6917d8d3eb5156c76330db890194db04175111f39b398ca2870,standard,chemical_biological
23,CB23P-0023,23,ca99708c7b71d3ce4d66bd4efcd6a1c26856fc2d37a623f4c16e850d09d67081,standard,chemical_biological
24,CB23P-0024,24,be1f015657503e1a2f4caac730f5e389f8cecd927828d012876e05cc66893a45,standard,chemical_biological
25,CB23P-0025,25,234bc7e94e7505c4dfb3532b1b776e3fe592fa8a548beb619a7acf85b4504dae,standard,chemical_biological
26,CB23P-0026,26,c55ed46aec5f358b9019b5704095762ac482026209063bde80e0ceec475e6163,standard,chemical_biological
27,CB23P-0027,27,74eeab486ce0eaab0b659eba356fb7664d3cbaaf1d39cc9b17e3b73838e9ee59,standard,chemical_biological
28,CB23P-0028,28,c6124d765a203179b38eed2d11c909cd9355adf191b5fb6076bcf31b3f8894b1,standard,chemical_biological
