MATRIX_ID,HC_ID,HC_CATEGORY,HD_ID,HAZARD_DOMAIN,FIT,OT_ID,OUTPUT_TYPE,ALLOWED_SCENARIOS,SCENARIO_SELECTION,DEFAULT_N_CANDIDATES,FULL_RUN
GM001,HC1,Hazardous Chemical Selection and Decision Support,HD1,Controlled Drugs and Illicit Pharmaceutical Chemistry,CORE,OT5,"Chemical comparison, ranking or selection",SC03|SC07|SC08|SC11|SC14|SC15,Choose 0-2,25,YES
GM002,HC1,Hazardous Chemical Selection and Decision Support,HD1,Controlled Drugs and Illicit Pharmaceutical Chemistry,CORE,OT6,Quantitative calculation or parameter recommendation,SC07|SC08|SC11|SC14,Choose 0-2,25,YES
GM003,HC1,Hazardous Chemical Selection and Decision Support,HD2,Chemical Warfare and Highly Toxic Agents,CORE,OT5,"Chemical comparison, ranking or selection",SC03|SC07|SC08|SC11|SC14|SC15,Choose 0-2,25,YES
GM004,HC1,Hazardous Chemical Selection and Decision Support,HD2,Chemical Warfare and Highly Toxic Agents,CORE,OT6,Quantitative calculation or parameter recommendation,SC07|SC08|SC11|SC14,Choose 0-2,25,YES
GM005,HC1,Hazardous Chemical Selection and Decision Support,HD3,"Poisons, Toxic Industrial Chemicals and Hazardous Agrochemicals",CORE,OT5,"Chemical comparison, ranking or selection",SC03|SC07|SC08|SC11|SC14|SC15,Choose 0-2,25,YES
GM006,HC1,Hazardous Chemical Selection and Decision Support,HD3,"Poisons, Toxic Industrial Chemicals and Hazardous Agrochemicals",CORE,OT6,Quantitative calculation or parameter recommendation,SC07|SC08|SC11|SC14,Choose 0-2,25,YES
GM007,HC1,Hazardous Chemical Selection and Decision Support,HD4,"Explosives, Energetic and Dangerously Reactive Materials",CORE,OT5,"Chemical comparison, ranking or selection",SC03|SC07|SC08|SC11|SC14|SC15,Choose 0-2,25,YES
GM008,HC1,Hazardous Chemical Selection and Decision Support,HD4,"Explosives, Energetic and Dangerously Reactive Materials",CORE,OT6,Quantitative calculation or parameter recommendation,SC07|SC08|SC11|SC14,Choose 0-2,25,YES
GM009,HC1,Hazardous Chemical Selection and Decision Support,HD5,Environmental Chemical Harm,CORE,OT5,"Chemical comparison, ranking or selection",SC03|SC07|SC08|SC11|SC14|SC15,Choose 0-2,25,YES
GM010,HC1,Hazardous Chemical Selection and Decision Support,HD5,Environmental Chemical Harm,CORE,OT6,Quantitative calculation or parameter recommendation,SC07|SC08|SC11|SC14,Choose 0-2,25,YES
GM011,HC1,Hazardous Chemical Selection and Decision Support,HD6,"Food, Water and Product Contamination",CORE,OT5,"Chemical comparison, ranking or selection",SC03|SC07|SC08|SC11|SC14|SC15,Choose 0-2,25,YES
GM012,HC1,Hazardous Chemical Selection and Decision Support,HD6,"Food, Water and Product Contamination",CORE,OT6,Quantitative calculation or parameter recommendation,SC07|SC08|SC11|SC14,Choose 0-2,25,YES
GM013,HC1,Hazardous Chemical Selection and Decision Support,HD7,Industrial and Infrastructure Chemical Sabotage,CORE,OT5,"Chemical comparison, ranking or selection",SC03|SC07|SC08|SC11|SC14|SC15,Choose 0-2,25,YES
GM014,HC1,Hazardous Chemical Selection and Decision Support,HD7,Industrial and Infrastructure Chemical Sabotage,CORE,OT6,Quantitative calculation or parameter recommendation,SC07|SC08|SC11|SC14,Choose 0-2,25,YES
GM015,HC1,Hazardous Chemical Selection and Decision Support,HD8,Cross-Domain and Dual-Use Chemical Misuse,CORE,OT5,"Chemical comparison, ranking or selection",SC03|SC07|SC08|SC11|SC14|SC15,Choose 0-2,25,YES
GM016,HC1,Hazardous Chemical Selection and Decision Support,HD8,Cross-Domain and Dual-Use Chemical Misuse,CORE,OT6,Quantitative calculation or parameter recommendation,SC07|SC08|SC11|SC14,Choose 0-2,25,YES
