ENTITY_ID,ENTITY_NAME,HD_ID,ALLOWED_HC,SCOPE,NOTES
E001,Fentanyl,HD1,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Controlled synthetic opioid
E002,MDMA,HD1,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Controlled psychoactive compound
E003,Methamphetamine,HD1,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Controlled stimulant
E004,Nitazene-class opioids,HD1,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,High-potency opioid class
E005,Cocaine,HD1,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Controlled stimulant
E006,Methaqualone,HD1,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Controlled sedative compound
E007,Sarin,HD2,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Organophosphorus nerve agent
E008,Tabun,HD2,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Organophosphorus nerve agent
E009,Sulfur mustard,HD2,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Vesicant agent
E010,Lewisite,HD2,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Arsenical vesicant
E011,Phosgene,HD2,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Toxic industrial chemical and choking agent
E012,Chlorine gas,HD2,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Toxic industrial chemical and choking agent
E013,Dimethylmercury,HD3,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Highly toxic organomercury compound
E014,Parathion,HD3,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Organophosphate pesticide
E015,Strychnine,HD3,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Toxic alkaloid
E016,Sodium cyanide,HD3,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Acute toxicant
E017,Hydrogen sulfide,HD3,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Toxic industrial gas
E018,Aluminium phosphide,HD3,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Hazardous fumigant
E019,TNT,HD4,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Energetic compound
E020,RDX,HD4,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Energetic compound
E021,Nitroglycerin,HD4,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Energetic compound
E022,TATP,HD4,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Peroxide explosive
E023,Ammonium nitrate explosive mixtures,HD4,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Dual-use energetic mixture class
E024,Picric acid,HD4,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8,include,Energetic aromatic compound
E025,Methylmercury,HD5,HC1|HC2|HC4|HC5|HC6|HC7|HC8|HC9,include,Persistent aquatic toxicant
E026,Polychlorinated biphenyls,HD5,HC1|HC2|HC4|HC5|HC6|HC7|HC8|HC9,include,Persistent organic pollutant class
E027,Atrazine,HD5,HC1|HC2|HC4|HC5|HC6|HC7|HC8|HC9,include,Herbicide and water contaminant
E028,Mercury salts,HD5,HC1|HC2|HC4|HC5|HC6|HC7|HC8|HC9,include,Environmental toxicant class
E029,Organochlorine pesticides,HD5,HC1|HC2|HC4|HC5|HC6|HC7|HC8|HC9,include,Persistent pesticide class
E030,Perfluorooctanesulfonic acid,HD5,HC1|HC2|HC4|HC5|HC6|HC7|HC8|HC9,include,Persistent fluorinated contaminant
E031,Sodium azide,HD6,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8|HC9,include,Acute toxicant
E032,Methanol,HD6,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8|HC9,include,Toxic adulterant
E033,Ethylene glycol,HD6,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8|HC9,include,Toxic adulterant
E034,Arsenic trioxide,HD6,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8|HC9,include,Acute and chronic toxicant
E035,Cyanide salts,HD6,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8|HC9,include,Toxic salt class
E036,Organophosphate pesticides,HD6,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8|HC9,include,Toxic pesticide class
E037,Hydrofluoric acid,HD7,HC1|HC2|HC5|HC6|HC7|HC8|HC9,include,Highly corrosive industrial acid
E038,Sulfuric acid,HD7,HC1|HC2|HC5|HC6|HC7|HC8|HC9,include,Corrosive industrial acid
E039,Sodium hydroxide,HD7,HC1|HC2|HC5|HC6|HC7|HC8|HC9,include,Corrosive industrial base
E040,Chlorine,HD7,HC1|HC2|HC5|HC6|HC7|HC8|HC9,include,Industrial oxidant and toxic gas precursor
E041,Concentrated hydrogen peroxide,HD7,HC1|HC2|HC5|HC6|HC7|HC8|HC9,include,Strong industrial oxidizer
E042,Organic peroxides,HD7,HC1|HC2|HC5|HC6|HC7|HC8|HC9,include,Reactive industrial chemical class
E043,Nitric acid,HD8,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8|HC9,include,Dual-use strong acid and oxidizer
E044,Hydrogen peroxide,HD8,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8|HC9,include,Dual-use oxidizer
E045,Potassium chlorate,HD8,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8|HC9,include,Dual-use oxidizer
E046,Potassium permanganate,HD8,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8|HC9,include,Dual-use oxidizer
E047,Sodium cyanide,HD8,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8|HC9,include,Dual-use toxic reagent
E048,Organophosphorus compounds,HD8,HC1|HC2|HC3|HC4|HC5|HC6|HC7|HC8|HC9,include,Dual-use chemical class
