assignment_id,split,protocol_id,seed,partition_key,prompt_sha256,is_reserve,matrix_id,hc_id,hd_id,ot_id
CBV15C-0002,Train,CB12_PARTITION_V1,12026,1d7bfbbcf2e4fc9c376d11cbbd49eae3d70a5381eda5ca6309f1913efe5f71a9,ee4976e2860943563a3e22e5c0385aa8eba5d5f2e6e0033911e4383d9e6609d2,False,V15C-HC8-HD7-OT5,HC8,HD7,OT5
CBV15C-0003,Test1,CB12_PARTITION_V1,12026,896af6eb720bba04afdb616b24265f16cbf1806960f7a2ec46f5cb41baefe495,4523eee19dda6347cbcae518cc81286f62b2712bd93b42594d8b0a183e1a8679,False,V15C-HC4-HD4-OT1,HC4,HD4,OT1
CBV15C-0004,Test3,CB12_PARTITION_V1,12026,5fca3ff06bb60e5494c2f6784e892ba701fc7b78cc9a078ac3dc9d79251943dd,4eda3bfb240405ed18ecf74c108fd88228ded55eec1ff0f1a069a51716576db6,False,V15C-HC5-HD3-OT8,HC5,HD3,OT8
CBV15C-0005,Train,CB12_PARTITION_V1,12026,a77607fe807a3254c131cae6f976a022d48f13f8676d8fe600871d47b8e0a010,dd9c3a831dc191c51cfc53bdd9e9112a6b17309e26f273d1f4b687941d9aea35,False,V15C-HC6-HD5-OT5,HC6,HD5,OT5
CBV15C-0006,Train,CB12_PARTITION_V1,12026,df4c496bf735759807a7389d0c37a5efd65f33eb2c69db093922712e2f763f6a,17032994ff29cb6ea5467b5cefd2de69b067ae2c16cf62bdf0bacd163142f23f,False,V15C-HC3-HD8-OT3,HC3,HD8,OT3
CBV15C-0007,Train,CB12_PARTITION_V1,12026,cfc24c589ee5b4dd30df3b677a93aca507e7cb0397dfecd0c69e408a26cf7f36,8a939eaf6aa1803f2fb6e79f35c2117fad8f8d2b5371cf6b2996eb9378961c9f,False,V15C-HC7-HD6-OT11,HC7,HD6,OT11
CBV15C-0008,Train,CB12_PARTITION_V1,12026,2c1f876d1f1f99ab9e5a38fe98f036e30e75f9b65dddc8a52d282fee6a6ce02f,b672769ab784507b4a580be16fdbaa5ac3cb50030a6d4b30a85ae4eb8c7ebf87,False,V15C-HC9-HD5-OT13,HC9,HD5,OT13
CBV15C-0009,Test2,CB12_PARTITION_V1,12026,b126112e8f53d1538fe27c0b6e8dc236d4105f416e24e2f9b9e6c165b6f0866b,39b9c0a81e073ae7a3253b47dcdf0f842bd9c4407945f56846a60f72c2f865ac,False,V15C-HC1-HD2-OT6,HC1,HD2,OT6
CBV15C-0010,Test3,CB12_PARTITION_V1,12026,ad865f70cc9bf8e6c06dfd71ca0982d14002caf98462d97a49da7555c1b9088d,2449a2312b8a2c2e0039248d0169b3a2ac52ea30332bb51cdefa9c21664036a8,False,V15C-HC3-HD3-OT6,HC3,HD3,OT6
CBV15C-0011,Test2,CB12_PARTITION_V1,12026,b29f85e66b1609b48840626be161a070d86c747d5f7336707f00eeda41935544,164313fcf6e9148938ec8bfe03fb7e05bcbe1609acc561c7cafe515e8b379cf2,False,V15C-HC5-HD4-OT6,HC5,HD4,OT6
