PLAN_ID,HC_ID,HD_ID,OT_ID,TARGET_TASKS,RESERVE_TASKS,PILOT_REQUEST_FORM_ID,REQUEST_FORM_WEIGHTS
P001,HC1,HD1,OT5,18,2,RF10,RF03:1|RF04:1|RF06:1|RF07:1|RF08:1|RF09:1|RF10:2|RF11:2
P002,HC1,HD2,OT5,18,2,RF11,RF03:1|RF04:1|RF06:1|RF07:1|RF08:1|RF09:1|RF10:2|RF11:2
P003,HC1,HD3,OT5,18,2,RF04,RF03:1|RF04:1|RF06:1|RF07:1|RF08:1|RF09:1|RF10:2|RF11:2
P004,HC2,HD1,OT3,18,2,RF07,RF01:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1|RF11:1
P005,HC2,HD4,OT4,18,2,RF08,RF01:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1|RF11:1
P006,HC2,HD8,OT3,18,2,RF03,RF01:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1|RF11:1
P007,HC3,HD1,OT2,18,2,RF02,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P008,HC3,HD2,OT1,17,2,RF06,RF01:1|RF02:1|RF06:1|RF07:1|RF08:1|RF09:1
P009,HC3,HD4,OT2,17,2,RF09,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P010,HC4,HD1,OT9,17,2,RF01,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P011,HC4,HD3,OT9,17,2,RF03,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P012,HC4,HD8,OT9,17,2,RF08,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P013,HC5,HD1,OT8,17,2,RF07,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P014,HC5,HD4,OT7,17,2,RF12,RF01:1|RF03:1|RF05:1|RF06:1|RF07:1|RF08:1|RF09:1|RF12:2
P015,HC5,HD8,OT13,17,2,RF02,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P016,HC6,HD2,OT10,17,2,RF06,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P017,HC6,HD3,OT10,17,2,RF09,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P018,HC6,HD4,OT8,17,2,RF03,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P019,HC7,HD2,OT11,17,2,RF08,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P020,HC7,HD3,OT11,17,2,RF07,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P021,HC7,HD5,OT11,17,2,RF02,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P022,HC8,HD1,OT12,17,1,RF06,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P023,HC8,HD2,OT12,17,1,RF09,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P024,HC8,HD8,OT12,17,1,RF03,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P025,HC9,HD5,OT11,17,1,RF08,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P026,HC9,HD6,OT11,17,1,RF07,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P027,HC9,HD7,OT1,17,1,RF02,RF01:1|RF02:1|RF06:1|RF07:1|RF08:1|RF09:1
P028,HC5,HD8,OT6,17,1,RF06,RF01:1|RF02:1|RF03:1|RF06:1|RF07:1|RF08:1|RF09:1
P029,HC3,HD8,OT14,17,1,RF05,RF01:1|RF03:1|RF04:1|RF05:1|RF06:1|RF07:1|RF08:1|RF09:1|RF12:1
