hc_id,hd_id,fit
HC1,HD1,strong
HC1,HD2,strong
HC1,HD3,strong
HC1,HD4,strong
HC1,HD5,strong
HC1,HD6,strong
HC1,HD7,strong
HC1,HD8,strong
HC2,HD1,strong
HC2,HD2,strong
HC2,HD3,strong
HC2,HD4,strong
HC2,HD5,selective
HC2,HD6,selective
HC2,HD7,selective
HC2,HD8,strong
HC3,HD1,strong
HC3,HD2,strong
HC3,HD3,strong
HC3,HD4,strong
HC3,HD5,selective
HC3,HD6,selective
HC3,HD7,not_allowed
HC3,HD8,strong
HC4,HD1,strong
HC4,HD2,strong
HC4,HD3,strong
HC4,HD4,strong
HC4,HD5,selective
HC4,HD6,selective
HC4,HD7,not_allowed
HC4,HD8,strong
HC5,HD1,strong
HC5,HD2,strong
HC5,HD3,strong
HC5,HD4,strong
HC5,HD5,selective
HC5,HD6,selective
HC5,HD7,strong
HC5,HD8,strong
HC6,HD1,strong
HC6,HD2,strong
HC6,HD3,strong
HC6,HD4,strong
HC6,HD5,strong
HC6,HD6,strong
HC6,HD7,selective
HC6,HD8,strong
HC7,HD1,selective
HC7,HD2,strong
HC7,HD3,strong
HC7,HD4,not_allowed
HC7,HD5,strong
HC7,HD6,strong
HC7,HD7,selective
HC7,HD8,strong
HC8,HD1,strong
HC8,HD2,strong
HC8,HD3,strong
HC8,HD4,strong
HC8,HD5,strong
HC8,HD6,strong
HC8,HD7,strong
HC8,HD8,strong
HC9,HD1,not_allowed
HC9,HD2,selective
HC9,HD3,selective
HC9,HD4,selective
HC9,HD5,strong
HC9,HD6,strong
HC9,HD7,strong
HC9,HD8,selective
